Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,22.9,26.1,82,SSW,2 1,6 3,1012.3,0.0,2023-02-28
5:30 am,22.6,25.7,78,CALM,0 0,0 0,1011.8,0.0,2023-02-28
5:00 am,23.6,26.3,74,WNW,2 1,6 3,1011.7,0.0,2023-02-28
4:30 am,23.8,26.6,74,N,2 1,7 4,1011.5,0.0,2023-02-28
4:00 am,23.8,27.0,74,CALM,0 0,0 0,1011.6,0.0,2023-02-28
3:30 am,23.8,26.6,74,NNW,2 1,7 4,1011.3,0.0,2023-02-28
3:00 am,24.0,27.3,74,CALM,0 0,0 0,1011.4,0.0,2023-02-28
2:30 am,24.1,27.0,73,NNE,2 1,6 3,1011.6,0.0,2023-02-28
2:00 am,24.4,27.4,73,N,2 1,4 2,1011.8,0.0,2023-02-28
1:30 am,24.5,27.1,73,N,4 2,7 4,1012.1,0.0,2023-02-28
1:00 am,24.6,27.7,73,N,2 1,4 2,1012.4,0.0,2023-02-28
12:30 am,24.6,27.7,73,N,2 1,4 2,1012.8,0.0,2023-02-28
12:00 am,24.1,27.5,75,CALM,0 0,4 2,1013.0,0.0,2023-02-28
11:30 pm,24.3,27.7,74,CALM,0 0,2 1,1013.4,0.0,2023-02-27
11:00 pm,24.2,26.8,74,ENE,4 2,6 3,1013.5,0.0,2023-02-27
10:30 pm,24.4,27.4,73,NE,2 1,9 5,1013.4,0.0,2023-02-27
10:00 pm,24.6,27.2,72,NNE,4 2,7 4,1013.4,0.0,2023-02-27
9:30 pm,24.9,27.1,71,NNE,6 3,13 7,1013.4,0.0,2023-02-27
9:00 pm,24.7,27.2,71,NNE,4 2,6 3,1013.2,0.0,2023-02-27
8:30 pm,25.1,27.3,70,NNE,6 3,11 6,1013.1,0.0,2023-02-27
8:00 pm,25.3,27.3,69,NNE,7 4,19 10,1012.8,0.0,2023-02-27
7:30 pm,25.3,27.2,68,NNE,7 4,13 7,1012.4,0.0,2023-02-27
7:00 pm,25.4,27.4,68,NNE,7 4,17 9,1012.3,0.0,2023-02-27
6:30 pm,25.7,27.4,67,NNE,9 5,19 10,1011.9,0.0,2023-02-27
6:00 pm,26.2,27.4,61,NNE,9 5,20 11,1011.5,0.0,2023-02-27
5:30 pm,27.3,27.8,55,NNE,11 6,24 13,1011.2,0.0,2023-02-27
5:00 pm,27.6,27.5,52,NNE,13 7,22 12,1011.1,0.0,2023-02-27
4:30 pm,28.3,29.3,53,NE,9 5,20 11,1010.9,0.0,2023-02-27
4:00 pm,28.8,30.2,54,NE,9 5,20 11,1010.8,0.0,2023-02-27
3:30 pm,29.4,30.8,50,NNE,7 4,19 10,1010.8,0.0,2023-02-27
3:00 pm,29.7,31.2,52,NE,9 5,17 9,1011.1,0.0,2023-02-27
2:30 pm,29.4,30.0,49,NE,11 6,20 11,1011.4,0.0,2023-02-27
