Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date,Time (AEST)
7:00 am,4.3,0.9,99,SE,11 6,15 8,1017.7,0.0,2025-10-07,
6:30 am,4.2,0.8,99,SE,11 6,13 7,1017.4,0.0,2025-10-07,
6:00 am,4.8,1.9,99,SE,9 5,13 7,1017.2,0.0,2025-10-07,
5:30 am,4.5,1.2,99,SE,11 6,15 8,1017.0,0.0,2025-10-07,
5:00 am,4.3,1.3,100,SE,9 5,11 6,1016.8,0.0,2025-10-07,
4:30 am,2.8,-0.1,99,NE,7 4,9 5,1016.9,0.0,2025-10-07,
4:00 am,1.6,-0.2,99,CALM,0 0,0 0,1016.8,0.0,2025-10-07,
3:59 am,1.4,-0.4,99,CALM,0 0,0 0,1016.8,0.0,2025-10-07,
3:30 am,1.6,-1.9,99,NE,9 5,11 6,1016.9,0.0,2025-10-07,
3:00 am,2.7,0.4,99,NE,4 2,7 4,1017.2,0.0,2025-10-07,
2:30 am,3.9,2.1,95,NE,2 1,6 3,1017.6,0.0,2025-10-07,
2:00 am,6.0,3.3,97,NE,9 5,15 8,1017.8,0.0,2025-10-07,
1:30 am,5.7,2.0,91,NE,13 7,15 8,1017.8,0.0,2025-10-07,
1:00 am,5.1,2.3,86,NNE,7 4,9 5,1017.9,0.0,2025-10-07,
12:30 am,7.2,4.2,80,N,9 5,11 6,1017.8,0.0,2025-10-07,
12:00 am,7.6,4.3,80,NNE,11 6,13 7,1017.7,0.0,2025-10-07,
11:30 pm,7.5,4.0,76,NNW,11 6,15 8,1017.6,0.0,2025-10-06,
11:00 pm,7.9,3.7,76,NNW,15 8,17 9,1017.6,0.0,2025-10-06,
10:30 pm,8.7,4.6,73,NNE,15 8,19 10,1017.5,0.0,2025-10-06,
10:00 pm,9.3,4.4,70,NW,19 10,26 14,1017.2,0.0,2025-10-06,
9:30 pm,10.0,5.4,65,N,17 9,22 12,1017.1,0.0,2025-10-06,
9:00 pm,10.8,4.8,59,NNW,24 13,30 16,1016.7,0.0,2025-10-06,
