0,1,Date,Time,Possible rainfall,Chance of any rain
98%,Humidity,2023-02-23,,,
NE,Wind Direction,2023-02-23,,,
1007.1,Pressure (hPa),2023-02-23,,,
6 km/h 3 knots,Wind Speed,2023-02-23,,,
48 km/h 26 knots,Highest Gust (7:24am),2023-02-23,,,
100%,Humidity,2023-02-22,,,
CALM,Wind Direction,2023-02-22,,,
1006.6,Pressure (hPa),2023-02-22,,,
0 km/h 0 knots,Wind Speed,2023-02-22,,,
48 km/h 26 knots,Highest Gust (2:44am),2023-02-22,,,
99%,Humidity,2023-02-21,,,
NE,Wind Direction,2023-02-21,,,
1006.4,Pressure (hPa),2023-02-21,,,
6 km/h 3 knots,Wind Speed,2023-02-21,,,
26 km/h 14 knots,Highest Gust (3:03am),2023-02-21,,,
,,2023-02-20,9:30 am - 12:30 pm,4 - 10 mm,70%
,,2023-02-20,12:30 pm - 3:30 pm,3 - 8 mm,70%
,,2023-02-20,3:30 pm - 6:30 pm,2 - 6 mm,70%
,,2023-02-20,6:30 pm - 9:30 pm,2 - 5 mm,60%
,,2023-02-20,9:30 pm - 12:30 am,1 - 4 mm,60%
,,2023-02-20,12:30 am - 3:30 am,2 - 6 mm,70%
