Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,6.0,3.2,95,NNW,9 5,11 6,1020.2,0.6,2025-07-03
5:30 am,6.0,2.8,95,NNW,11 6,13 7,1020.0,0.6,2025-07-03
5:00 am,6.0,3.2,94,NNW,9 5,13 7,1020.1,0.6,2025-07-03
4:30 am,6.4,3.7,95,NNW,9 5,11 6,1020.2,0.6,2025-07-03
4:00 am,6.4,3.7,95,NNW,9 5,11 6,1020.2,0.6,2025-07-03
3:30 am,6.3,3.5,93,NNW,9 5,13 7,1020.5,0.4,2025-07-03
3:00 am,6.6,3.1,92,NNW,13 7,17 9,1020.6,0.2,2025-07-03
2:30 am,6.8,5.0,91,NNW,4 2,11 6,1020.8,0.2,2025-07-03
2:00 am,6.9,3.8,91,NNW,11 6,15 8,1020.7,0.2,2025-07-03
1:30 am,6.8,4.0,90,NNW,9 5,13 7,1020.8,0.2,2025-07-03
1:00 am,6.9,3.8,91,NNW,11 6,13 7,1021.0,0.2,2025-07-03
12:30 am,6.8,3.6,89,N,11 6,15 8,1021.2,0.2,2025-07-03
12:00 am,7.6,5.3,89,NW,7 4,9 5,1021.4,0.0,2025-07-03
11:30 pm,7.8,5.7,86,ENE,6 3,9 5,1021.6,0.0,2025-07-02
11:00 pm,7.8,5.6,85,E,6 3,7 4,1021.7,0.0,2025-07-02
10:30 pm,7.6,4.4,85,N,11 6,15 8,1021.7,0.0,2025-07-02
10:00 pm,8.2,6.0,83,N,6 3,7 4,1021.8,0.0,2025-07-02
9:30 pm,8.1,5.0,83,SSW,11 6,15 8,1021.8,0.0,2025-07-02
9:00 pm,8.3,4.1,84,SW,17 9,24 13,1021.9,0.0,2025-07-02
8:30 pm,8.5,5.4,82,SW,11 6,17 9,1021.8,0.0,2025-07-02
8:00 pm,8.4,5.4,85,S,11 6,15 8,1021.9,0.0,2025-07-02
7:30 pm,8.9,5.1,80,SSW,15 8,20 11,1021.8,0.0,2025-07-02
7:00 pm,8.7,4.5,81,SSW,17 9,22 12,1021.7,0.0,2025-07-02
6:30 pm,8.3,3.5,83,SW,20 11,26 14,1021.4,0.0,2025-07-02
6:00 pm,8.4,5.1,86,SSW,13 7,20 11,1021.4,0.0,2025-07-02
5:30 pm,8.6,4.4,83,SSW,17 9,22 12,1021.1,0.0,2025-07-02
5:00 pm,9.0,4.3,81,SSW,20 11,28 15,1021.2,0.0,2025-07-02
4:30 pm,10.1,5.3,70,S,19 10,30 16,1021.2,0.0,2025-07-02
4:00 pm,10.2,5.8,68,SSW,17 9,28 15,1021.1,0.0,2025-07-02
3:30 pm,10.6,6.2,66,SSW,17 9,24 13,1021.1,0.0,2025-07-02
3:00 pm,10.7,6.7,67,SSW,15 8,22 12,1021.0,0.0,2025-07-02
2:30 pm,10.7,6.3,67,S,17 9,26 14,1021.2,0.0,2025-07-02
2:00 pm,10.7,6.7,67,SSE,15 8,26 14,1021.2,0.0,2025-07-02
1:30 pm,9.8,6.9,70,E,9 5,13 7,1021.3,0.0,2025-07-02
1:00 pm,11.0,7.4,67,SSE,13 7,22 12,1021.3,0.0,2025-07-02
12:30 pm,8.8,6.2,73,NNW,7 4,13 7,1021.5,0.0,2025-07-02
12:00 pm,7.5,4.4,76,N,9 5,13 7,1022.1,0.0,2025-07-02
11:30 am,7.3,4.7,76,N,6 3,9 5,1022.6,0.0,2025-07-02
11:00 am,6.8,3.2,77,N,11 6,15 8,1022.8,0.0,2025-07-02
10:30 am,6.1,2.8,79,N,9 5,13 7,1022.9,0.0,2025-07-02
