Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date,Time (AEST)
7:00 am,17.7,13.4,50,N,19 10,32 17,1014.4,0.0,2025-10-05,
6:30 am,17.1,13.0,54,N,19 10,30 16,1014.5,0.0,2025-10-05,
6:00 am,17.0,13.3,55,N,17 9,30 16,1014.4,0.0,2025-10-05,
5:30 am,17.0,13.7,55,N,15 8,24 13,1014.6,0.0,2025-10-05,
5:00 am,17.2,12.9,54,NNW,20 11,30 16,1015.0,0.0,2025-10-05,
4:30 am,17.4,13.0,52,N,20 11,32 17,1014.7,0.0,2025-10-05,
4:00 am,17.6,13.2,52,N,20 11,32 17,1014.8,0.0,2025-10-05,
3:30 am,17.2,13.3,52,N,17 9,26 14,1015.4,0.0,2025-10-05,
3:00 am,16.1,13.8,57,NNE,9 5,13 7,1015.6,0.0,2025-10-05,
1:30 am,17.1,14.4,53,N,11 6,17 9,1016.2,0.0,2025-10-05,
1:00 am,17.4,14.4,52,N,13 7,20 11,1016.7,0.0,2025-10-05,
12:30 am,17.5,14.8,52,N,11 6,17 9,1017.4,0.0,2025-10-05,
12:00 am,17.3,14.7,53,N,11 6,19 10,1017.8,0.0,2025-10-05,
,16.7,14.5,56,NNW,9 5,11 6,1018.2,0.0,2025-10-04,11:30 pm
,16.9,14.8,56,N,9 5,13 7,1018.7,0.0,2025-10-04,11:00 pm
,17.5,15.4,55,N,9 5,11 6,1019.0,0.0,2025-10-04,10:30 pm
,18.0,16.2,52,NNE,7 4,9 5,1019.3,0.0,2025-10-04,10:00 pm
,18.8,16.6,49,N,9 5,13 7,1019.6,0.0,2025-10-04,9:30 pm
,19.6,17.0,46,NNW,11 6,15 8,1019.9,0.0,2025-10-04,9:00 pm
,20.5,17.5,44,N,13 7,19 10,1019.9,0.0,2025-10-04,8:30 pm
,21.3,18.7,42,N,11 6,20 11,1019.8,0.0,2025-10-04,8:00 pm
,21.5,19.0,43,N,11 6,19 10,1019.8,0.0,2025-10-04,7:30 pm
,21.3,19.0,45,N,11 6,15 8,1019.7,0.0,2025-10-04,7:00 pm
,21.9,19.2,43,N,13 7,22 12,1019.4,0.0,2025-10-04,6:30 pm
,23.0,20.2,40,N,13 7,24 13,1019.2,0.0,2025-10-04,6:00 pm
,23.7,20.2,38,N,17 9,24 13,1019.3,0.0,2025-10-04,5:30 pm
,23.8,19.9,38,N,19 10,30 16,1019.0,0.0,2025-10-04,5:00 pm
,24.1,20.8,40,N,17 9,26 14,1019.0,0.0,2025-10-04,4:30 pm
,24.4,21.2,40,N,17 9,30 16,1018.9,0.0,2025-10-04,4:00 pm
,24.6,21.2,37,N,17 9,28 15,1019.1,0.0,2025-10-04,3:30 pm
,23.6,22.7,44,SSW,6 3,13 7,1019.5,0.0,2025-10-04,3:00 pm
,22.2,19.3,45,W,15 8,28 15,1019.7,0.0,2025-10-04,2:30 pm
,24.8,22.0,36,NNW,13 7,22 12,1020.1,0.0,2025-10-04,2:00 pm
,24.9,23.1,38,NW,9 5,26 14,1020.3,0.0,2025-10-04,1:30 pm
,23.6,20.9,39,NNW,13 7,20 11,1021.1,0.0,2025-10-04,1:00 pm
,23.1,20.3,39,NW,13 7,20 11,1021.5,0.0,2025-10-04,12:30 pm
,22.3,19.7,48,N,15 8,26 14,1022.0,0.0,2025-10-04,12:00 pm
,21.1,18.1,51,N,17 9,26 14,1022.4,0.0,2025-10-04,11:30 am
,20.4,17.3,52,N,17 9,24 13,1023.0,0.0,2025-10-04,11:00 am
,19.2,16.0,55,N,17 9,26 14,1023.4,0.0,2025-10-04,10:30 am
,18.3,15.3,61,N,17 9,26 14,1023.8,0.0,2025-10-04,10:00 am
,17.4,15.8,68,N,11 6,20 11,1024.4,0.0,2025-10-04,9:30 am
,15.2,13.7,74,NNE,9 5,17 9,1024.7,0.0,2025-10-04,9:00 am
,13.8,12.5,84,N,9 5,11 6,1025.3,0.0,2025-10-04,8:30 am
,13.0,12.2,87,N,6 3,9 5,1025.1,0.0,2025-10-04,8:00 am
,11.8,10.5,97,NE,9 5,11 6,1025.0,0.0,2025-10-04,7:30 am
,11.2,10.4,100,NE,6 3,9 5,1025.0,0.0,2025-10-04,7:00 am
,10.8,9.7,100,NE,7 4,9 5,1024.8,0.0,2025-10-04,6:30 am
,10.8,10.7,100,NE,2 1,7 4,1024.6,0.0,2025-10-04,6:00 am
,10.9,10.1,100,NE,6 3,9 5,1024.3,0.0,2025-10-04,5:30 am
,10.8,10.3,100,NNE,4 2,7 4,1024.1,0.0,2025-10-04,5:00 am
,9.6,9.5,100,CALM,0 0,0 0,1024.1,0.0,2025-10-04,4:30 am
,9.7,9.7,100,CALM,0 0,0 0,1024.1,0.0,2025-10-04,4:00 am
,10.0,10.1,100,CALM,0 0,0 0,1023.9,0.0,2025-10-04,3:30 am
,10.2,10.3,100,CALM,0 0,0 0,1023.8,0.0,2025-10-04,3:00 am
,10.7,10.9,100,CALM,0 0,0 0,1023.7,0.0,2025-10-04,2:30 am
,11.3,11.7,100,CALM,0 0,0 0,1023.6,0.0,2025-10-04,2:00 am
,12.5,12.9,92,CALM,0 0,0 0,1023.8,0.0,2025-10-04,1:30 am
,13.6,13.9,84,CALM,0 0,0 0,1024.2,0.0,2025-10-04,1:00 am
,13.8,13.0,83,NNE,6 3,7 4,1024.4,0.0,2025-10-04,12:30 am
,13.8,12.8,83,NNE,7 4,9 5,1024.6,0.0,2025-10-04,12:00 am
,13.6,12.9,86,NNE,6 3,9 5,1024.8,0.0,2025-10-03,11:30 pm
,12.9,13.6,95,CALM,0 0,0 0,1024.7,0.0,2025-10-03,11:00 pm
,12.8,13.4,95,CALM,0 0,0 0,1024.6,0.0,2025-10-03,10:30 pm
,12.5,13.0,95,CALM,0 0,0 0,1024.6,0.0,2025-10-03,10:00 pm
,12.7,13.1,90,CALM,0 0,0 0,1024.5,0.0,2025-10-03,9:30 pm
,13.1,13.3,85,CALM,0 0,0 0,1024.3,0.0,2025-10-03,9:00 pm
,13.5,13.7,83,CALM,0 0,6 3,1024.2,0.0,2025-10-03,8:30 pm
,13.7,13.9,81,CALM,0 0,6 3,1024.0,0.0,2025-10-03,8:00 pm
,13.9,12.8,81,SSE,7 4,11 6,1023.9,0.0,2025-10-03,7:30 pm
,13.7,12.6,82,SSE,7 4,13 7,1023.4,0.0,2025-10-03,7:00 pm
,14.1,12.6,79,SSE,9 5,13 7,1022.9,0.0,2025-10-03,6:30 pm
,14.5,13.0,77,S,9 5,20 11,1022.4,0.0,2025-10-03,6:00 pm
,14.9,13.3,74,SSE,9 5,17 9,1022.0,0.0,2025-10-03,5:30 pm
,15.0,12.6,72,S,13 7,24 13,1021.6,0.0,2025-10-03,5:00 pm
,15.9,14.0,70,S,11 6,19 10,1021.2,0.0,2025-10-03,4:30 pm
,15.5,13.1,70,S,13 7,26 14,1020.8,0.0,2025-10-03,4:00 pm
,16.0,14.6,72,S,9 5,19 10,1020.6,0.0,2025-10-03,3:30 pm
,16.1,14.5,74,S,11 6,22 12,1020.5,0.0,2025-10-03,3:00 pm
,15.8,13.8,76,SSW,13 7,26 14,1020.5,0.0,2025-10-03,2:30 pm
,16.7,14.2,70,SSW,15 8,24 13,1020.3,0.0,2025-10-03,2:00 pm
,18.4,16.7,58,SW,9 5,26 14,1020.0,0.0,2025-10-03,1:30 pm
,17.7,15.2,60,WSW,13 7,24 13,1019.7,0.0,2025-10-03,1:00 pm
,17.5,14.8,57,W,13 7,24 13,1019.5,0.0,2025-10-03,12:30 pm
,16.9,14.2,60,WSW,13 7,28 15,1019.6,0.0,2025-10-03,12:00 pm
,16.9,13.4,58,WSW,17 9,32 17,1019.5,0.0,2025-10-03,11:30 am
,16.9,14.2,59,WSW,13 7,24 13,1019.4,0.0,2025-10-03,11:00 am
,16.8,13.6,58,SW,15 8,26 14,1019.1,0.0,2025-10-03,10:30 am
,15.8,12.6,61,WSW,15 8,35 19,1019.1,0.0,2025-10-03,10:00 am
,15.3,12.8,62,W,11 6,26 14,1019.0,0.0,2025-10-03,9:30 am
,15.0,12.5,63,W,11 6,30 16,1018.8,0.6,2025-10-03,9:00 am
,14.4,11.9,67,W,11 6,26 14,1018.7,0.6,2025-10-03,8:30 am
,13.6,11.9,70,WNW,7 4,17 9,1018.4,0.6,2025-10-03,8:00 am
,13.1,10.9,71,WNW,9 5,22 12,1018.3,0.6,2025-10-03,7:30 am
,12.6,10.8,73,NW,7 4,13 7,1017.5,0.6,2025-10-03,7:00 am
