Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 pm,16.5,14.4,71,S,13 7,–,1019.0,0.0,2025-08-23
5:30 pm,16.8,14.4,64,S,13 7,–,1018.7,0.0,2025-08-23
5:00 pm,17.3,14.2,58,SSW,15 8,–,1018.6,0.0,2025-08-23
4:30 pm,17.7,13.2,55,SSW,22 12,–,1018.5,0.0,2025-08-23
4:00 pm,18.4,13.7,55,S,24 13,–,1018.5,0.0,2025-08-23
3:30 pm,18.8,12.4,51,SSW,32 17,–,1018.4,0.0,2025-08-23
3:00 pm,19.2,13.7,52,SSW,28 15,–,1018.3,0.0,2025-08-23
2:30 pm,18.7,14.3,58,SSW,24 13,–,1018.2,0.0,2025-08-23
2:00 pm,19.2,13.3,52,S,30 16,–,1018.1,0.0,2025-08-23
1:30 pm,20.5,15.6,51,SSW,26 14,–,1018.1,0.0,2025-08-23
1:00 pm,20.1,13.8,49,SSW,32 17,–,1018.0,0.0,2025-08-23
12:30 pm,20.1,14.8,51,SSW,28 15,–,1018.1,0.0,2025-08-23
12:00 pm,20.1,13.6,48,SSW,33 18,–,1018.1,0.0,2025-08-23
11:30 am,19.7,13.3,49,SSW,32 17,–,1018.1,0.0,2025-08-23
11:00 am,19.7,15.8,61,SSW,24 13,–,1018.1,0.0,2025-08-23
10:30 am,18.7,15.7,60,WSW,17 9,–,1018.1,0.0,2025-08-23
10:00 am,17.5,13.5,63,W,22 12,–,1017.9,0.0,2025-08-23
9:30 am,16.6,12.0,64,W,24 13,–,1017.9,0.0,2025-08-23
9:00 am,15.2,10.7,72,W,24 13,–,1017.9,20.8,2025-08-23
8:30 am,13.8,10.2,78,W,19 10,–,1017.8,20.8,2025-08-23
8:00 am,13.2,9.6,83,W,20 11,–,1017.5,20.8,2025-08-23
7:30 am,12.7,9.6,85,W,17 9,–,1017.3,20.8,2025-08-23
7:00 am,12.6,9.7,83,W,15 8,–,1017.0,20.8,2025-08-23
6:30 am,12.3,9.6,89,W,15 8,–,1016.6,20.8,2025-08-23
6:00 am,12.3,10.2,93,WNW,13 7,–,1016.4,20.8,2025-08-23
5:30 am,12.6,12.0,94,WNW,6 3,–,1016.4,20.8,2025-08-23
5:00 am,12.6,11.1,95,WNW,11 6,–,1016.2,20.8,2025-08-23
4:30 am,12.7,10.1,95,WNW,17 9,–,1016.1,20.8,2025-08-23
4:00 am,12.7,9.7,96,W,19 10,–,1016.1,20.8,2025-08-23
3:30 am,12.7,10.5,96,WNW,15 8,–,1016.1,20.8,2025-08-23
3:00 am,12.7,9.7,96,W,19 10,–,1016.4,20.8,2025-08-23
2:30 am,12.7,9.6,97,W,20 11,–,1016.6,20.8,2025-08-23
2:00 am,12.8,10.3,96,W,17 9,–,1016.8,20.8,2025-08-23
1:30 am,12.9,10.8,97,W,15 8,–,1017.2,20.8,2025-08-23
1:00 am,12.8,11.1,98,W,13 7,–,1017.2,20.8,2025-08-23
12:30 am,13.1,10.7,98,W,17 9,–,1017.4,20.8,2025-08-23
12:00 am,13.3,11.0,98,W,17 9,–,1017.7,20.8,2025-08-23
11:30 pm,13.6,11.4,98,W,17 9,–,1017.9,20.8,2025-08-22
11:00 pm,13.8,12.1,98,W,15 8,–,1018.2,20.8,2025-08-22
10:30 pm,14.1,11.7,98,W,19 10,–,1018.4,20.8,2025-08-22
10:00 pm,14.3,11.8,98,W,20 11,–,1018.7,20.8,2025-08-22
9:30 pm,14.5,12.6,98,W,17 9,–,1019.0,20.2,2025-08-22
9:00 pm,14.7,14.3,97,W,9 5,–,1019.1,18.2,2025-08-22
