Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 am,22.7,25.2,94,WNW,11 6,–,1005.4,0.0,2023-03-07
6:30 am,22.5,24.9,94,W,11 6,–,1005.4,0.0,2023-03-07
6:00 am,22.4,26.0,93,NNW,4 2,–,1004.2,0.0,2023-03-07
5:30 am,22.4,26.1,94,NW,4 2,–,1003.8,0.0,2023-03-07
5:00 am,22.4,26.0,93,NW,4 2,–,1003.7,0.0,2023-03-07
4:30 am,22.5,25.5,93,WNW,7 4,–,1003.8,0.0,2023-03-07
4:00 am,22.7,24.2,92,SW,15 8,–,1004.0,0.0,2023-03-07
3:30 am,22.8,26.3,94,SSW,6 3,–,1003.3,0.0,2023-03-07
3:00 am,22.7,26.1,94,SSW,6 3,–,1003.0,0.0,2023-03-07
2:30 am,22.9,25.7,92,SSE,9 5,–,1003.2,0.0,2023-03-07
2:00 am,22.8,25.5,92,SE,9 5,–,1003.7,0.0,2023-03-07
1:30 am,23.2,27.0,91,SSE,4 2,–,1004.0,0.0,2023-03-07
1:00 am,23.3,26.6,89,S,6 3,–,1003.8,0.0,2023-03-07
12:30 am,23.8,26.7,88,SSW,9 5,–,1003.9,0.0,2023-03-07
12:00 am,24.2,27.3,88,S,9 5,–,1003.9,0.0,2023-03-07
