Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 pm,14.3,11.6,56,WNW,9 5,–,1019.6,0.0,2023-06-27
5:30 pm,14.6,12.1,52,W,7 4,–,1019.1,0.0,2023-06-27
5:00 pm,15.2,12.7,50,SW,7 4,–,1018.5,0.0,2023-06-27
4:30 pm,15.8,12.9,48,SW,9 5,–,1018.5,0.0,2023-06-27
4:00 pm,16.8,13.5,45,SSW,11 6,–,1018.8,0.0,2023-06-27
3:30 pm,18.1,14.3,44,W,15 8,–,1019.0,0.0,2023-06-27
3:00 pm,18.3,15.2,43,WNW,11 6,–,1018.5,0.0,2023-06-27
2:30 pm,18.2,13.9,42,WNW,17 9,–,1019.3,0.0,2023-06-27
2:00 pm,17.9,14.2,41,W,13 7,–,1019.0,0.0,2023-06-27
1:30 pm,17.4,14.0,46,NW,13 7,–,1019.4,0.0,2023-06-27
1:00 pm,17.2,13.7,46,WNW,13 7,–,1019.5,0.0,2023-06-27
12:30 pm,17.8,13.7,47,WNW,17 9,–,1019.0,0.0,2023-06-27
12:00 pm,17.0,12.8,47,WNW,17 9,–,1019.3,0.0,2023-06-27
11:30 am,16.4,12.6,50,W,15 8,–,1020.1,0.0,2023-06-27
11:00 am,15.6,11.4,52,WNW,17 9,–,1020.9,0.0,2023-06-27
10:30 am,15.0,10.8,54,WNW,17 9,–,1021.5,0.0,2023-06-27
10:00 am,14.2,9.7,58,WNW,19 10,–,1022.0,0.0,2023-06-27
9:30 am,13.1,8.9,60,WNW,17 9,–,1022.0,0.0,2023-06-27
9:00 am,12.5,9.0,62,W,13 7,–,1021.9,0.0,2023-06-27
8:30 am,11.8,7.5,64,W,17 9,–,1021.6,0.0,2023-06-27
8:00 am,11.1,6.7,66,W,17 9,–,1021.2,0.0,2023-06-27
7:30 am,10.8,7.9,65,WNW,9 5,–,1020.8,0.0,2023-06-27
7:00 am,10.8,7.1,66,WNW,13 7,–,1020.5,0.0,2023-06-27
6:30 am,10.5,6.5,68,W,15 8,–,1019.8,0.0,2023-06-27
6:00 am,10.5,5.8,69,W,19 10,–,1019.6,0.0,2023-06-27
5:30 am,10.2,6.2,70,W,15 8,–,1019.4,0.0,2023-06-27
5:00 am,10.7,6.3,68,W,17 9,–,1019.1,0.0,2023-06-27
4:30 am,10.8,5.9,64,W,19 10,–,1018.7,0.0,2023-06-27
4:00 am,10.9,6.8,63,W,15 8,–,1018.4,0.0,2023-06-27
3:30 am,11.2,7.5,62,W,13 7,–,1018.4,0.0,2023-06-27
3:00 am,12.0,8.3,59,WNW,13 7,–,1018.0,0.0,2023-06-27
2:30 am,12.2,8.0,56,W,15 8,–,1017.8,0.0,2023-06-27
2:00 am,12.0,7.1,58,W,19 10,–,1018.0,0.0,2023-06-27
1:30 am,12.4,8.3,57,W,15 8,–,1018.3,0.0,2023-06-27
1:00 am,12.9,7.4,55,W,22 12,–,1018.4,0.0,2023-06-27
12:30 am,13.4,7.9,52,W,22 12,–,1018.0,0.0,2023-06-27
12:00 am,13.5,7.2,51,WSW,26 14,–,1018.6,0.0,2023-06-27
