Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,10.4,7.2,70,NW,11 6,17 9,1015.7,0.4,2023-07-20
11:00 pm,10.3,6.9,73,NNW,13 7,22 12,1015.3,0.4,2023-07-20
10:30 pm,9.9,7.7,77,NNW,7 4,11 6,1015.1,0.4,2023-07-20
10:00 pm,10.2,6.9,78,N,13 7,20 11,1014.6,0.4,2023-07-20
9:30 pm,10.7,7.4,75,N,13 7,24 13,1014.6,0.4,2023-07-20
9:00 pm,10.7,7.4,76,N,13 7,20 11,1014.5,0.4,2023-07-20
8:30 pm,10.8,7.5,74,NNW,13 7,20 11,1014.2,0.4,2023-07-20
8:00 pm,10.7,7.1,76,N,15 8,24 13,1014.0,0.4,2023-07-20
7:30 pm,10.6,7.3,76,NNW,13 7,22 12,1013.6,0.4,2023-07-20
7:00 pm,10.5,6.8,76,N,15 8,24 13,1013.1,0.4,2023-07-20
6:30 pm,10.7,6.6,73,N,17 9,26 14,1012.6,0.4,2023-07-20
