Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.5,11.0,78,W,13 7,19 10,1018.7,1.6,2023-09-20
11:00 pm,13.9,10.9,74,WSW,15 8,24 13,1018.9,1.6,2023-09-20
10:30 pm,13.4,11.1,75,W,11 6,19 10,1018.8,1.6,2023-09-20
10:00 pm,13.5,10.3,72,W,15 8,22 12,1018.7,1.6,2023-09-20
9:30 pm,14.1,10.5,69,WSW,17 9,28 15,1018.6,1.6,2023-09-20
9:00 pm,13.9,11.1,70,WSW,13 7,22 12,1018.4,1.6,2023-09-20
8:30 pm,13.8,11.0,70,WSW,13 7,24 13,1018.1,1.6,2023-09-20
8:00 pm,13.5,11.2,74,WSW,11 6,17 9,1017.8,1.6,2023-09-20
7:30 pm,13.4,10.2,72,SW,15 8,20 11,1017.7,1.6,2023-09-20
7:00 pm,13.7,10.3,74,WSW,17 9,30 16,1017.2,1.6,2023-09-20
6:30 pm,13.6,10.1,73,WSW,17 9,24 13,1016.8,1.6,2023-09-20
6:00 pm,14.2,10.4,72,WSW,19 10,37 20,1016.7,1.6,2023-09-20
