Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,23.7,21.7,46,NE,13 7,28 15,1016.5,0.0,2024-01-05
11:00 pm,24.2,22.1,44,NNE,13 7,26 14,1016.5,0.0,2024-01-05
10:30 pm,24.8,23.0,41,NE,11 6,28 15,1016.6,0.0,2024-01-05
10:00 pm,25.5,23.1,38,NE,13 7,19 10,1016.6,0.0,2024-01-05
9:30 pm,25.3,24.0,38,NE,7 4,15 8,1016.4,0.0,2024-01-05
9:00 pm,22.1,23.5,66,ENE,2 1,9 5,1016.2,0.0,2024-01-05
8:30 pm,22.3,24.5,70,CALM,0 0,0 0,1016.0,0.0,2024-01-05
8:00 pm,23.1,25.3,67,CALM,0 0,0 0,1015.8,0.0,2024-01-05
7:30 pm,24.0,25.3,65,SW,6 3,9 5,1015.7,0.0,2024-01-05
7:00 pm,24.3,24.1,63,SW,13 7,19 10,1015.5,0.0,2024-01-05
6:30 pm,26.4,26.8,53,WSW,9 5,17 9,1015.4,0.0,2024-01-05
6:00 pm,27.2,27.1,50,SW,11 6,19 10,1015.3,0.0,2024-01-05
5:30 pm,27.2,25.7,47,SW,17 9,30 16,1015.1,0.0,2024-01-05
5:00 pm,27.2,25.2,44,SSW,17 9,28 15,1015.2,0.0,2024-01-05
4:30 pm,27.1,24.7,44,SW,19 10,32 17,1015.4,0.0,2024-01-05
