Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 pm,17.8,14.3,75,E,24 13,33 18,1014.7,0.0,2024-03-02
6:30 pm,18.9,14.6,70,E,28 15,37 20,1013.8,0.0,2024-03-02
6:00 pm,21.0,17.4,65,E,26 14,39 21,1013.1,0.0,2024-03-02
5:30 pm,23.1,18.4,60,E,33 18,43 23,1012.5,0.0,2024-03-02
5:23 pm,23.4,18.5,57,E,33 18,46 25,1012.2,0.0,2024-03-02
5:00 pm,28.4,23.0,22,NNW,22 12,30 16,1012.1,0.0,2024-03-02
4:30 pm,29.6,24.7,20,NW,19 10,30 16,1012.1,0.0,2024-03-02
4:00 pm,28.9,24.0,22,NNW,20 11,32 17,1012.0,0.0,2024-03-02
3:30 pm,27.4,23.3,26,NNW,17 9,28 15,1012.0,0.0,2024-03-02
3:00 pm,28.0,23.9,30,N,20 11,28 15,1012.0,0.0,2024-03-02
2:30 pm,26.8,22.7,32,N,20 11,28 15,1012.3,0.0,2024-03-02
2:00 pm,25.7,21.7,35,N,20 11,32 17,1012.8,0.0,2024-03-02
1:30 pm,26.2,21.9,38,NNW,24 13,33 18,1013.0,0.0,2024-03-02
1:00 pm,25.1,20.8,44,NNW,26 14,33 18,1013.0,0.0,2024-03-02
12:30 pm,24.3,21.5,54,N,22 12,30 16,1013.3,0.0,2024-03-02
12:00 pm,23.6,21.5,59,N,20 11,26 14,1013.7,0.0,2024-03-02
11:30 am,22.4,21.8,74,N,17 9,19 10,1014.0,0.0,2024-03-02
11:00 am,22.4,22.5,74,N,13 7,17 9,1013.8,0.0,2024-03-02
10:30 am,21.3,22.7,78,S,6 3,9 5,1013.6,0.0,2024-03-02
10:00 am,20.7,22.8,76,CALM,0 0,0 0,1013.4,0.0,2024-03-02
9:30 am,19.9,21.0,82,S,6 3,7 4,1013.3,0.0,2024-03-02
9:00 am,19.6,21.9,84,CALM,0 0,0 0,1012.9,0.0,2024-03-02
8:30 am,18.7,20.9,87,CALM,0 0,0 0,1012.6,0.0,2024-03-02
8:00 am,17.9,20.1,92,CALM,0 0,0 0,1012.3,0.0,2024-03-02
7:30 am,17.2,18.9,88,CALM,0 0,4 2,1012.1,0.0,2024-03-02
7:00 am,17.7,19.6,88,CALM,0 0,0 0,1011.6,0.0,2024-03-02
6:30 am,17.5,19.2,87,CALM,0 0,4 2,1011.5,0.0,2024-03-02
6:00 am,16.6,18.1,88,CALM,0 0,0 0,1011.2,0.0,2024-03-02
5:30 am,16.4,16.7,89,S,6 3,9 5,1010.9,0.0,2024-03-02
5:00 am,17.5,18.9,87,S,2 1,7 4,1010.6,0.0,2024-03-02
4:30 am,17.6,19.1,83,CALM,0 0,4 2,1010.7,0.0,2024-03-02
4:00 am,17.4,18.2,84,S,4 2,9 5,1011.0,0.0,2024-03-02
3:30 am,17.3,17.6,83,S,6 3,7 4,1011.4,0.0,2024-03-02
3:00 am,17.4,18.8,82,CALM,0 0,0 0,1011.6,0.0,2024-03-02
2:30 am,17.9,19.0,81,S,2 1,7 4,1011.7,0.0,2024-03-02
2:00 am,17.4,17.4,79,S,6 3,11 6,1011.8,0.0,2024-03-02
1:30 am,18.3,18.8,76,ENE,4 2,7 4,1011.9,0.0,2024-03-02
1:00 am,18.1,19.5,79,CALM,0 0,7 4,1012.2,0.0,2024-03-02
12:46 am,18.9,18.7,76,S,9 5,11 6,1011.8,0.0,2024-03-02
12:32 am,18.8,20.0,73,CALM,0 0,0 0,1012.0,0.0,2024-03-02
12:30 am,18.5,19.7,74,CALM,0 0,0 0,1011.9,0.0,2024-03-02
12:00 am,18.9,20.1,72,CALM,0 0,0 0,1012.1,0.0,2024-03-02
