Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 am,13.7,12.6,79,WSW,6 3,9 5,1025.7,1.2,2024-08-09
5:00 am,13.4,12.4,82,WSW,6 3,11 6,1025.7,1.2,2024-08-09
4:30 am,13.0,12.1,85,WSW,6 3,9 5,1025.6,1.2,2024-08-09
4:00 am,13.5,13.3,81,SSW,2 1,4 2,1025.9,1.2,2024-08-09
3:30 am,13.8,13.4,76,SW,2 1,4 2,1025.8,1.2,2024-08-09
3:00 am,13.7,12.9,77,SW,4 2,6 3,1025.8,1.2,2024-08-09
2:30 am,13.6,12.8,77,WSW,4 2,9 5,1025.8,1.2,2024-08-09
2:00 am,14.1,12.9,75,SW,6 3,7 4,1025.8,1.2,2024-08-09
1:30 am,14.4,13.6,73,WSW,4 2,7 4,1025.9,1.2,2024-08-09
1:00 am,14.5,13.7,72,WSW,4 2,7 4,1026.1,1.2,2024-08-09
12:30 am,14.5,13.7,73,WSW,4 2,6 3,1026.0,1.2,2024-08-09
12:00 am,14.3,13.6,75,WSW,4 2,7 4,1026.4,1.2,2024-08-09
