Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.3,10.7,74,SE,6 3,7 4,1019.7,0.0,2024-11-08
11:00 pm,12.6,10.8,74,SSE,7 4,9 5,1020.0,0.0,2024-11-08
10:30 pm,12.7,11.1,72,SSE,6 3,7 4,1020.0,0.0,2024-11-08
10:00 pm,13.3,11.7,71,SSE,6 3,7 4,1020.2,0.0,2024-11-08
9:30 pm,14.2,12.5,68,S,7 4,9 5,1020.1,0.0,2024-11-08
9:00 pm,14.4,12.6,66,S,7 4,11 6,1019.9,0.0,2024-11-08
8:30 pm,15.5,13.4,62,S,9 5,11 6,1019.7,0.0,2024-11-08
8:00 pm,16.0,13.8,59,SSW,9 5,17 9,1019.0,0.0,2024-11-08
7:30 pm,16.6,14.1,57,SSW,11 6,20 11,1018.3,0.0,2024-11-08
7:00 pm,17.8,15.3,53,SSW,11 6,17 9,1018.1,0.0,2024-11-08
