Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 am,15.4,12.8,61,S,11 6,24 13,1018.7,0.4,2025-02-19
6:30 am,15.7,12.9,56,S,11 6,19 10,1018.5,0.4,2025-02-19
6:00 am,15.6,12.4,56,S,13 7,28 15,1018.2,0.4,2025-02-19
5:30 am,15.7,12.6,57,SSE,13 7,26 14,1018.1,0.4,2025-02-19
5:00 am,15.5,12.9,60,S,11 6,20 11,1018.1,0.4,2025-02-19
4:30 am,15.5,12.8,58,S,11 6,22 12,1018.1,0.4,2025-02-19
4:00 am,15.5,12.6,55,S,11 6,22 12,1018.2,0.4,2025-02-19
3:30 am,15.6,13.1,55,SSE,9 5,19 10,1017.9,0.4,2025-02-19
3:00 am,15.8,12.7,56,S,13 7,26 14,1017.9,0.4,2025-02-19
2:30 am,15.9,13.0,54,S,11 6,19 10,1017.9,0.4,2025-02-19
2:00 am,16.1,13.4,56,S,11 6,22 12,1018.1,0.4,2025-02-19
1:30 am,16.2,13.6,52,S,9 5,20 11,1018.3,0.4,2025-02-19
1:00 am,16.0,13.5,60,SSE,11 6,20 11,1018.5,0.4,2025-02-19
12:30 am,16.3,13.7,57,SSE,11 6,19 10,1018.6,0.4,2025-02-19
12:00 am,16.0,14.3,61,S,7 4,11 6,1018.7,0.4,2025-02-19
