Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,8.9,8.7,100,CALM,0 0,0 0,1017.5,0.0,2025-04-29
5:53 am,8.9,8.7,100,CALM,0 0,0 0,1017.4,0.0,2025-04-29
5:51 am,8.9,8.7,100,CALM,0 0,0 0,1017.4,0.0,2025-04-29
5:33 am,9.2,9.0,100,CALM,0 0,0 0,1017.3,0.0,2025-04-29
5:32 am,9.2,9.0,100,CALM,0 0,0 0,1017.3,0.0,2025-04-29
5:30 am,9.2,9.0,100,CALM,0 0,0 0,1017.2,0.0,2025-04-29
5:18 am,8.5,8.2,100,CALM,0 0,0 0,1017.2,0.0,2025-04-29
5:08 am,7.9,7.4,100,CALM,0 0,0 0,1017.1,0.0,2025-04-29
5:07 am,7.8,7.3,100,CALM,0 0,0 0,1017.1,0.0,2025-04-29
5:00 am,7.5,6.9,100,CALM,0 0,2 1,1017.1,0.0,2025-04-29
4:35 am,7.7,6.0,100,SE,6 3,7 4,1016.8,0.0,2025-04-29
4:30 am,7.7,6.4,100,SE,4 2,7 4,1016.8,0.0,2025-04-29
4:26 am,8.0,7.2,100,SE,2 1,7 4,1016.8,0.0,2025-04-29
4:19 am,8.0,7.5,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
4:06 am,7.8,7.3,100,CALM,0 0,0 0,1016.9,0.0,2025-04-29
4:00 am,8.2,7.8,100,CALM,0 0,0 0,1016.9,0.0,2025-04-29
3:59 am,8.2,7.8,100,CALM,0 0,0 0,1016.9,0.0,2025-04-29
3:52 am,8.6,8.3,100,CALM,0 0,0 0,1016.8,0.0,2025-04-29
3:45 am,8.5,8.2,100,CALM,0 0,0 0,1016.8,0.0,2025-04-29
3:44 am,8.5,8.2,100,CALM,0 0,0 0,1016.8,0.0,2025-04-29
3:43 am,8.4,8.0,100,CALM,0 0,0 0,1016.8,0.0,2025-04-29
3:38 am,8.3,7.9,100,CALM,0 0,0 0,1016.8,0.0,2025-04-29
3:30 am,8.3,7.9,100,CALM,0 0,0 0,1016.8,0.0,2025-04-29
3:29 am,8.3,7.9,100,CALM,0 0,0 0,1016.8,0.0,2025-04-29
3:28 am,8.3,7.9,100,CALM,0 0,0 0,1016.8,0.0,2025-04-29
3:25 am,8.1,7.7,100,CALM,0 0,0 0,1016.8,0.0,2025-04-29
3:23 am,8.0,7.5,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
3:22 am,8.1,7.7,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
3:15 am,8.6,8.3,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
3:11 am,9.1,8.9,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
3:10 am,9.1,8.9,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
3:00 am,9.0,8.8,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
2:56 am,9.4,9.3,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
2:45 am,9.1,8.9,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
2:43 am,9.2,9.0,100,CALM,0 0,0 0,1016.7,0.0,2025-04-29
2:30 am,9.0,8.8,100,CALM,0 0,0 0,1016.9,0.0,2025-04-29
2:00 am,9.8,9.8,100,CALM,0 0,0 0,1016.9,0.0,2025-04-29
1:30 am,9.9,9.9,100,CALM,0 0,0 0,1017.3,0.0,2025-04-29
1:00 am,10.4,9.8,100,SE,4 2,7 4,1017.3,0.0,2025-04-29
12:30 am,10.5,9.3,99,SE,7 4,9 5,1017.2,0.0,2025-04-29
12:00 am,11.8,12.3,99,CALM,0 0,6 3,1017.6,0.0,2025-04-29
