Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,4.8,1.1,83,NW,11 6,15 8,1029.2,0.0,2025-05-21
5:30 am,5.8,1.0,81,NNW,17 9,22 12,1029.0,0.0,2025-05-21
5:00 am,5.9,2.3,81,NNW,11 6,17 9,1028.7,0.0,2025-05-21
4:30 am,5.9,1.9,81,NW,13 7,19 10,1028.7,0.0,2025-05-21
4:00 am,5.4,1.8,83,NW,11 6,15 8,1028.8,0.0,2025-05-21
3:30 am,5.6,2.0,83,NNW,11 6,17 9,1028.8,0.0,2025-05-21
3:00 am,5.3,2.1,85,NNW,9 5,17 9,1028.7,0.0,2025-05-21
2:30 am,5.5,2.6,83,NW,7 4,15 8,1028.8,0.0,2025-05-21
2:00 am,6.1,1.1,83,NNW,19 10,24 13,1028.9,0.0,2025-05-21
1:30 am,6.7,2.0,79,N,17 9,20 11,1029.0,0.0,2025-05-21
1:00 am,6.9,3.1,80,N,13 7,15 8,1029.2,0.0,2025-05-21
12:30 am,7.0,3.9,79,N,9 5,13 7,1029.3,0.0,2025-05-21
12:00 am,7.1,4.4,78,NW,7 4,13 7,1029.4,0.0,2025-05-21
