Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:00 pm,28.6,24.5,34,NNW,24 13,39 21,1015.7,0.0,2023-02-23
12:30 pm,28.3,24.3,36,N,24 13,37 20,1016.0,0.0,2023-02-23
12:00 pm,27.3,22.9,37,N,26 14,37 20,1016.6,0.0,2023-02-23
11:30 am,26.9,22.9,39,NNW,24 13,39 21,1016.9,0.0,2023-02-23
11:00 am,26.5,23.4,41,N,20 11,35 19,1017.1,0.0,2023-02-23
10:30 am,26.4,23.4,41,N,19 10,32 17,1017.1,0.0,2023-02-23
10:00 am,24.7,20.6,43,N,24 13,39 21,1017.2,0.0,2023-02-23
9:30 am,23.9,20.8,46,N,19 10,30 16,1017.5,0.0,2023-02-23
9:00 am,23.1,20.0,48,N,19 10,32 17,1017.6,0.0,2023-02-23
8:30 am,22.1,19.8,48,N,13 7,22 12,1017.5,0.0,2023-02-23
8:00 am,21.3,18.9,49,N,13 7,24 13,1017.1,0.0,2023-02-23
7:30 am,21.3,18.9,48,N,13 7,20 11,1016.9,0.0,2023-02-23
7:00 am,20.7,18.9,49,NNE,9 5,15 8,1016.8,0.0,2023-02-23
6:30 am,19.7,18.4,54,NNE,7 4,11 6,1016.6,0.0,2023-02-23
6:00 am,19.9,18.4,55,NNE,9 5,11 6,1016.4,0.0,2023-02-23
5:30 am,20.0,18.6,56,NNE,9 5,11 6,1016.6,0.0,2023-02-23
5:00 am,19.9,18.7,59,NNE,9 5,13 7,1016.6,0.0,2023-02-23
4:30 am,20.0,18.9,59,NNE,9 5,11 6,1016.7,0.0,2023-02-23
4:00 am,20.4,19.2,57,NNE,9 5,13 7,1016.7,0.0,2023-02-23
3:30 am,21.0,20.1,54,NNE,7 4,11 6,1016.7,0.0,2023-02-23
3:00 am,20.9,20.5,53,N,4 2,9 5,1016.9,0.0,2023-02-23
2:30 am,21.6,21.3,53,N,4 2,7 4,1016.8,0.0,2023-02-23
2:00 am,22.7,22.6,55,NE,6 3,9 5,1016.9,0.0,2023-02-23
1:30 am,22.9,23.2,55,NNE,4 2,7 4,1017.1,0.0,2023-02-23
1:00 am,22.5,22.6,58,N,6 3,9 5,1017.3,0.0,2023-02-23
12:30 am,21.7,23.4,67,CALM,0 0,6 3,1017.2,0.0,2023-02-23
12:00 am,22.8,23.9,56,CALM,0 0,7 4,1017.2,0.0,2023-02-23
11:30 pm,24.1,25.1,51,CALM,0 0,2 1,1017.3,0.0,2023-02-22
11:00 pm,25.2,25.2,45,ESE,4 2,9 5,1017.4,0.0,2023-02-22
10:30 pm,25.8,25.4,43,E,6 3,9 5,1017.3,0.0,2023-02-22
10:00 pm,26.4,26.0,42,ESE,6 3,15 8,1017.2,0.0,2023-02-22
9:30 pm,27.0,25.7,41,SE,11 6,19 10,1017.1,0.0,2023-02-22
9:00 pm,27.0,26.8,44,SSE,7 4,15 8,1016.9,0.0,2023-02-22
8:30 pm,27.7,26.8,42,SSE,11 6,22 12,1016.8,0.0,2023-02-22
8:00 pm,28.5,27.4,39,SSE,11 6,19 10,1016.7,0.0,2023-02-22
7:30 pm,29.3,28.4,36,SSE,9 5,22 12,1016.6,0.0,2023-02-22
7:00 pm,30.4,29.7,32,SSW,7 4,15 8,1016.7,0.0,2023-02-22
6:30 pm,31.1,30.1,29,S,7 4,13 7,1016.7,0.0,2023-02-22
6:00 pm,32.0,31.5,27,SW,4 2,9 5,1016.9,0.0,2023-02-22
5:30 pm,31.8,31.0,28,E,6 3,13 7,1017.1,0.0,2023-02-22
5:00 pm,31.5,30.1,28,N,9 5,15 8,1017.4,0.0,2023-02-22
