Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
10:00 am,21.1,17.1,35,SE,15 8,28 15,1017.5,0.0,2023-02-23
9:30 am,20.3,17.4,41,SE,11 6,20 11,1017.5,0.0,2023-02-23
9:00 am,18.6,15.3,45,E,13 7,22 12,1017.6,0.0,2023-02-23
8:30 am,17.7,14.1,48,ENE,15 8,26 14,1017.7,0.0,2023-02-23
8:00 am,17.2,14.3,49,E,11 6,28 15,1017.9,0.0,2023-02-23
7:30 am,16.3,13.0,51,ESE,13 7,24 13,1017.7,0.0,2023-02-23
7:00 am,14.9,12.0,57,E,11 6,22 12,1017.4,0.0,2023-02-23
6:30 am,14.2,11.6,59,E,9 5,15 8,1017.3,0.0,2023-02-23
6:00 am,13.8,11.5,59,E,7 4,13 7,1016.9,0.0,2023-02-23
5:30 am,14.3,11.6,55,E,9 5,15 8,1016.7,0.0,2023-02-23
5:00 am,14.5,11.7,54,E,9 5,20 11,1016.5,0.0,2023-02-23
4:30 am,14.6,11.9,55,E,9 5,19 10,1016.2,0.0,2023-02-23
4:00 am,14.7,12.4,54,E,7 4,15 8,1016.1,0.0,2023-02-23
3:30 am,15.4,12.8,54,ESE,9 5,20 11,1015.9,0.0,2023-02-23
3:00 am,15.8,12.7,50,ESE,11 6,19 10,1015.8,0.0,2023-02-23
2:30 am,16.3,13.3,51,ESE,11 6,20 11,1015.6,0.0,2023-02-23
2:00 am,16.7,13.4,50,ESE,13 7,28 15,1015.6,0.0,2023-02-23
1:30 am,17.1,14.5,49,SE,9 5,20 11,1015.6,0.0,2023-02-23
1:00 am,17.8,14.1,47,ESE,15 8,37 20,1015.2,0.0,2023-02-23
12:30 am,18.4,14.6,43,ESE,15 8,28 15,1015.3,0.0,2023-02-23
12:00 am,19.0,14.8,41,ESE,17 9,28 15,1015.0,0.0,2023-02-23
11:30 pm,19.3,16.0,43,SE,13 7,30 16,1014.7,0.0,2023-02-22
11:00 pm,20.1,16.4,40,SE,15 8,30 16,1014.6,0.0,2023-02-22
10:30 pm,21.0,16.6,34,SE,17 9,28 15,1014.2,0.0,2023-02-22
10:00 pm,21.8,16.9,31,SE,19 10,35 19,1014.0,0.0,2023-02-22
9:30 pm,22.2,17.7,31,SE,17 9,32 17,1013.2,0.0,2023-02-22
9:00 pm,22.8,18.9,32,SE,15 8,26 14,1012.7,0.0,2023-02-22
8:30 pm,22.1,19.6,45,SSE,13 7,19 10,1012.0,0.0,2023-02-22
8:00 pm,21.9,20.4,49,S,9 5,15 8,1011.2,0.0,2023-02-22
7:30 pm,22.1,20.1,51,S,13 7,24 13,1010.7,0.0,2023-02-22
7:00 pm,22.1,20.3,53,SSW,13 7,22 12,1010.4,0.0,2023-02-22
6:30 pm,22.3,19.3,52,SSW,19 10,33 18,1010.1,0.0,2023-02-22
6:00 pm,22.9,19.7,48,SSW,19 10,37 20,1009.8,0.0,2023-02-22
5:30 pm,23.6,20.5,47,SSW,19 10,33 18,1009.7,0.0,2023-02-22
5:00 pm,23.6,19.7,48,SW,24 13,39 21,1009.8,0.0,2023-02-22
4:30 pm,23.6,19.9,47,SSW,22 12,41 22,1009.9,0.0,2023-02-22
4:00 pm,24.5,20.9,45,SSW,22 12,43 23,1010.0,0.0,2023-02-22
3:30 pm,24.3,20.0,45,SSW,26 14,44 24,1010.2,0.0,2023-02-22
3:00 pm,24.6,20.9,43,SSW,22 12,39 21,1010.4,0.0,2023-02-22
2:30 pm,24.6,20.6,45,SSW,24 13,37 20,1010.9,0.0,2023-02-22
2:00 pm,24.6,21.1,46,SSW,22 12,37 20,1011.0,0.0,2023-02-22
1:30 pm,25.5,22.6,44,SSW,19 10,35 19,1011.3,0.0,2023-02-22
1:00 pm,25.0,21.8,44,SSW,20 11,32 17,1011.4,0.0,2023-02-22
12:30 pm,25.1,22.0,42,SSW,19 10,30 16,1011.7,0.0,2023-02-22
12:00 pm,24.5,21.2,42,SW,19 10,32 17,1011.9,0.0,2023-02-22
11:30 am,25.3,23.1,44,S,15 8,30 16,1012.0,0.0,2023-02-22
11:00 am,24.0,21.3,46,S,17 9,32 17,1012.1,0.0,2023-02-22
10:30 am,23.4,20.4,48,SSE,19 10,32 17,1012.3,0.0,2023-02-22
10:00 am,22.5,19.0,52,SSE,22 12,37 20,1012.4,0.0,2023-02-22
9:30 am,21.9,18.4,54,S,22 12,35 19,1012.5,0.0,2023-02-22
9:00 am,21.3,18.3,57,S,20 11,41 22,1012.4,0.0,2023-02-22
8:30 am,20.3,17.5,64,S,20 11,35 19,1012.3,0.0,2023-02-22
8:00 am,19.3,16.6,69,SSE,20 11,30 16,1012.2,0.0,2023-02-22
7:30 am,19.0,16.7,68,S,17 9,33 18,1012.0,0.0,2023-02-22
7:00 am,18.3,16.6,69,S,13 7,24 13,1011.7,0.0,2023-02-22
6:30 am,17.8,16.4,70,S,11 6,17 9,1011.4,0.0,2023-02-22
6:00 am,17.7,16.2,69,SSE,11 6,19 10,1010.9,0.0,2023-02-22
5:30 am,18.1,16.3,68,S,13 7,22 12,1011.1,0.0,2023-02-22
5:00 am,18.4,17.1,68,SSE,11 6,19 10,1010.8,0.0,2023-02-22
4:30 am,18.1,16.5,71,S,13 7,22 12,1010.6,0.0,2023-02-22
4:00 am,18.0,16.8,72,S,11 6,19 10,1010.3,0.0,2023-02-22
3:30 am,17.9,17.1,73,S,9 5,19 10,1010.1,0.0,2023-02-22
3:00 am,18.1,16.4,70,SSW,13 7,19 10,1009.8,0.0,2023-02-22
2:30 am,18.3,16.6,69,S,13 7,22 12,1009.6,0.0,2023-02-22
2:00 am,18.5,17.3,69,S,11 6,20 11,1009.8,0.0,2023-02-22
1:30 am,18.8,17.6,68,S,11 6,22 12,1010.0,0.0,2023-02-22
1:00 am,19.2,17.6,66,S,13 7,24 13,1010.2,0.0,2023-02-22
12:30 am,19.5,17.1,65,SSW,17 9,35 19,1010.4,0.0,2023-02-22
12:00 am,19.9,18.1,66,S,15 8,28 15,1010.4,0.0,2023-02-22
11:30 pm,20.4,18.7,70,S,17 9,33 18,1010.4,0.0,2023-02-21
11:00 pm,20.5,18.8,70,SSW,17 9,30 16,1010.5,0.0,2023-02-21
