Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:00 pm,24.3,24.3,65,ENE,13 7,–,1021.0,0.0,2023-02-23
12:30 pm,24.3,22.1,63,ENE,24 13,–,1021.2,0.0,2023-02-23
12:00 pm,25.2,24.0,66,E,22 12,–,1021.4,0.0,2023-02-23
11:30 am,24.0,22.7,60,E,17 9,–,1021.4,0.0,2023-02-23
11:00 am,24.0,25.6,61,SSW,2 1,–,1021.5,0.0,2023-02-23
10:30 am,23.4,25.1,68,S,4 2,–,1021.7,0.0,2023-02-23
10:00 am,22.0,23.1,72,NNW,6 3,–,1021.8,0.0,2023-02-23
9:30 am,20.4,21.8,78,WNW,4 2,–,1021.9,0.0,2023-02-23
9:00 am,19.9,20.7,85,W,9 5,–,1021.9,1.8,2023-02-23
8:30 am,19.0,19.3,83,W,9 5,–,1022.1,1.8,2023-02-23
8:00 am,18.9,19.5,88,W,9 5,–,1022.2,1.8,2023-02-23
7:30 am,18.4,19.9,90,WNW,4 2,–,1022.0,1.8,2023-02-23
7:00 am,18.0,18.8,90,NW,7 4,–,1021.9,1.8,2023-02-23
6:30 am,17.6,18.4,90,W,6 3,–,1021.7,1.8,2023-02-23
6:00 am,17.3,17.3,88,W,9 5,–,1021.5,1.8,2023-02-23
5:30 am,17.3,17.4,89,W,9 5,–,1021.5,1.8,2023-02-23
5:00 am,17.1,16.4,90,W,13 7,–,1021.3,1.8,2023-02-23
4:30 am,17.1,16.0,90,W,15 8,–,1021.4,1.8,2023-02-23
4:00 am,17.5,15.8,89,W,19 10,–,1021.6,1.8,2023-02-23
3:30 am,18.0,16.5,89,W,19 10,–,1021.7,1.8,2023-02-23
3:00 am,18.4,18.5,83,NW,9 5,–,1021.7,1.8,2023-02-23
2:30 am,19.4,20.0,67,S,2 1,–,1021.9,1.8,2023-02-23
2:00 am,19.9,19.7,65,S,6 3,–,1022.0,1.8,2023-02-23
1:30 am,20.4,20.0,63,SE,7 4,–,1022.1,1.8,2023-02-23
1:00 am,20.8,19.7,61,ESE,11 6,–,1022.4,1.8,2023-02-23
12:30 am,21.0,18.8,61,E,17 9,–,1022.4,1.8,2023-02-23
12:00 am,20.9,18.2,63,E,20 11,–,1022.5,1.8,2023-02-23
11:30 pm,21.0,18.4,63,E,20 11,–,1022.7,1.8,2023-02-22
11:00 pm,21.1,18.6,64,E,20 11,–,1022.9,1.8,2023-02-22
10:30 pm,21.0,17.9,66,ESE,24 13,–,1022.9,1.8,2023-02-22
10:00 pm,20.7,18.7,65,ESE,17 9,–,1023.1,1.8,2023-02-22
9:30 pm,20.7,19.1,65,ESE,15 8,–,1023.2,1.8,2023-02-22
9:00 pm,20.8,19.4,63,ESE,13 7,–,1023.1,1.8,2023-02-22
8:30 pm,21.0,18.8,61,ESE,17 9,–,1023.0,1.8,2023-02-22
8:00 pm,21.2,18.7,62,ESE,19 10,–,1023.0,1.8,2023-02-22
7:30 pm,21.4,18.9,61,ESE,19 10,–,1022.9,1.8,2023-02-22
7:00 pm,21.6,19.0,61,ESE,20 11,–,1022.7,1.8,2023-02-22
6:30 pm,21.8,19.1,64,ESE,22 12,–,1022.5,1.8,2023-02-22
6:00 pm,22.1,19.0,62,ESE,24 13,–,1022.5,1.8,2023-02-22
5:30 pm,22.3,20.1,63,ESE,20 11,–,1022.4,1.8,2023-02-22
5:00 pm,22.5,19.0,61,ESE,26 14,–,1022.3,1.8,2023-02-22
4:30 pm,23.3,20.9,61,ESE,22 12,–,1022.4,1.8,2023-02-22
4:00 pm,23.0,19.8,62,ESE,26 14,–,1022.6,1.8,2023-02-22
3:30 pm,24.0,21.6,63,E,24 13,–,1022.8,1.8,2023-02-22
3:00 pm,22.8,19.4,65,E,28 15,–,1023.1,1.8,2023-02-22
2:30 pm,22.5,19.6,67,ESE,26 14,–,1023.2,1.8,2023-02-22
2:00 pm,22.2,18.6,65,E,28 15,–,1023.1,1.8,2023-02-22
1:30 pm,22.3,19.6,66,E,24 13,–,1023.3,1.8,2023-02-22
1:00 pm,22.6,19.4,68,E,28 15,–,1023.3,1.8,2023-02-22
12:30 pm,21.9,19.1,71,E,26 14,–,1023.4,1.6,2023-02-22
12:00 pm,21.6,18.8,77,ESE,28 15,–,1023.6,1.6,2023-02-22
11:30 am,19.6,18.9,82,ESE,15 8,–,1023.8,1.6,2023-02-22
11:00 am,20.5,20.5,81,ESE,13 7,–,1023.9,0.6,2023-02-22
10:30 am,20.2,17.7,83,ESE,26 14,–,1023.9,0.4,2023-02-22
10:00 am,19.5,20.8,88,SE,7 4,–,1023.9,0.4,2023-02-22
9:30 am,19.6,19.7,87,SE,13 7,–,1023.8,0.2,2023-02-22
