Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:00 pm,28.2,24.6,33,N,20 11,30 16,1015.4,0.0,2023-02-23
12:30 pm,27.5,23.8,34,N,20 11,32 17,1016.0,0.0,2023-02-23
12:00 pm,24.5,19.4,38,N,26 14,39 21,1016.4,0.0,2023-02-23
11:30 am,24.9,19.7,40,NNW,28 15,43 23,1016.7,0.0,2023-02-23
11:00 am,24.3,20.0,42,N,24 13,41 22,1017.0,0.0,2023-02-23
10:30 am,23.6,19.3,44,N,24 13,41 22,1017.1,0.0,2023-02-23
10:00 am,22.4,18.0,47,N,24 13,35 19,1017.2,0.0,2023-02-23
9:30 am,21.2,16.0,50,N,28 15,43 23,1017.5,0.0,2023-02-23
9:00 am,19.9,15.7,57,N,24 13,39 21,1017.5,0.0,2023-02-23
8:30 am,19.1,13.9,57,N,28 15,39 21,1017.5,0.0,2023-02-23
8:00 am,18.8,14.5,60,NNW,24 13,39 21,1017.7,0.0,2023-02-23
7:30 am,17.9,13.2,63,N,26 14,37 20,1017.6,0.0,2023-02-23
7:00 am,17.6,13.3,64,N,24 13,37 20,1017.4,0.0,2023-02-23
6:30 am,17.4,12.4,65,N,28 15,44 24,1017.3,0.0,2023-02-23
6:00 am,17.7,12.7,65,N,28 15,44 24,1016.9,0.0,2023-02-23
5:35 am,17.7,12.7,64,NNW,28 15,46 25,1016.8,0.0,2023-02-23
5:30 am,17.8,13.5,64,N,24 13,41 22,1016.8,0.0,2023-02-23
5:00 am,17.9,13.6,63,N,24 13,35 19,1016.9,0.0,2023-02-23
4:30 am,18.2,14.0,63,N,24 13,37 20,1017.1,0.0,2023-02-23
4:00 am,18.5,13.5,62,N,28 15,43 23,1017.3,0.0,2023-02-23
3:30 am,18.6,13.3,62,N,30 16,50 27,1017.6,0.0,2023-02-23
3:27 am,18.7,13.7,61,N,28 15,50 27,1017.6,0.0,2023-02-23
3:00 am,18.8,14.5,60,N,24 13,44 24,1017.9,0.0,2023-02-23
2:30 am,19.2,14.8,57,N,24 13,39 21,1018.2,0.0,2023-02-23
2:00 am,19.5,13.5,55,N,32 17,46 25,1018.5,0.0,2023-02-23
1:30 am,19.7,14.8,54,N,26 14,41 22,1018.9,0.0,2023-02-23
1:00 am,20.2,14.5,51,NNW,30 16,43 23,1019.1,0.0,2023-02-23
12:30 am,20.1,15.6,52,NNW,24 13,37 20,1019.2,0.0,2023-02-23
12:00 am,20.1,15.3,53,N,26 14,43 23,1019.4,0.0,2023-02-23
