Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,20.6,19.2,99,SSE,28 15,–,1024.3,27.4,2023-02-20
11:00 pm,20.7,20.4,98,SSE,22 12,–,1024.3,25.8,2023-02-20
10:30 pm,20.6,19.5,98,SSE,26 14,–,1024.3,23.6,2023-02-20
10:00 pm,20.6,18.4,98,SSE,32 17,–,1024.3,21.0,2023-02-20
9:30 pm,21.3,19.5,99,SSE,32 17,–,1024.0,17.8,2023-02-20
9:00 pm,21.3,19.5,99,SSE,32 17,–,1023.8,13.6,2023-02-20
8:30 pm,21.2,20.5,99,SSE,26 14,–,1023.8,9.2,2023-02-20
8:00 pm,21.4,19.1,99,SSE,35 19,–,1023.1,5.0,2023-02-20
7:30 pm,21.7,19.6,96,SSW,33 18,–,1022.8,1.4,2023-02-20
7:00 pm,24.2,24.1,85,SSE,24 13,–,1022.1,0.0,2023-02-20
6:30 pm,24.5,24.1,84,S,26 14,–,1021.8,0.0,2023-02-20
6:00 pm,25.8,26.4,75,SSE,19 10,–,1021.5,0.0,2023-02-20
5:30 pm,26.1,26.9,75,SE,19 10,–,1021.4,0.0,2023-02-20
5:00 pm,26.5,26.7,73,ESE,22 12,–,1021.3,0.0,2023-02-20
4:30 pm,27.8,28.6,70,ESE,20 11,–,1021.0,0.0,2023-02-20
4:00 pm,27.4,27.6,66,E,20 11,–,1020.3,0.0,2023-02-20
3:30 pm,27.9,28.0,67,E,22 12,–,1020.2,0.0,2023-02-20
3:00 pm,27.9,28.3,66,E,20 11,–,1020.4,0.0,2023-02-20
2:30 pm,28.0,28.6,67,E,20 11,–,1020.6,0.0,2023-02-20
2:00 pm,27.5,28.1,68,E,19 10,–,1021.0,0.0,2023-02-20
1:30 pm,27.1,27.4,66,E,19 10,–,1021.1,0.0,2023-02-20
1:00 pm,27.2,27.5,68,E,20 11,–,1021.1,0.0,2023-02-20
12:30 pm,27.1,28.2,70,E,17 9,–,1021.1,0.0,2023-02-20
12:00 pm,27.0,28.2,68,E,15 8,–,1021.6,0.0,2023-02-20
11:30 am,26.9,27.5,67,E,17 9,–,1021.8,0.0,2023-02-20
11:00 am,26.7,28.0,70,ESE,15 8,–,1021.9,0.0,2023-02-20
